"study_route","gender","age_group","education_level","transport_service_type","service_type_other_specify","driving_experience_years","operation_area","work_time","daily_trips","belongs_to_union","union_name","union_other_specify","road_condition","congestion_frequency","congestion_causes","cause_poor_roads","cause_indiscipline","cause_street_trading","cause_poor_traffic_control","cause_lack_parking","terminal_availability","encounters_challenges_authorities","challenges_details","regulation_effectiveness","relationship_with_agencies","fair_law_enforcement","income_effect_congestion","improvement_suggestions","suggest_new_roads","suggest_traffic_mgmt","suggest_parking","suggest_law_enforcement","suggest_reduce_hawking","suggest_other"
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",TRUE,"Confiscation of car keys and collecting of unapproved fines","Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","No formal education","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws f. Others",1,1,1,1,0,1
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Taxi",NA,"Over 10 years","CBD","Morning","7–9",FALSE,NA,NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Always","a. Poor road network d. Poor traffic control e. Lack of parking space",1,0,0,1,1,"Inadequate",TRUE,"Unclear collection of fines","Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",TRUE,"Poor regulation of traffic","Ineffective","Tense",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Basic","Taxi",NA,"Over 10 years","Suburbs","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",TRUE,"Collecting of unapproved fines","Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",TRUE,"Intimidation and harassment","Ineffective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",TRUE,"Discrimination because of the use of pragya","Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","Suburbs","Throughout the day","10 or more",TRUE,"PROTOA",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces e. Reduction of street hawking",1,1,1,0,1,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Taxi",NA,"2–5 years","Suburbs","Throughout the day","10 or more",TRUE,"PROTOA",NA,"Poor","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Tense",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","All areas","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",TRUE,"Collecting unapproved fees when drivers break the law","Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","a. Poor road network d. Poor traffic control e. Lack of parking space",1,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",TRUE,"Intimidation and collection of huge amounts of money","Ineffective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","No formal education","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Poor","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","46–55","Basic","Taxi",NA,"Over 10 years","Suburbs","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Taxi",NA,"6–10 years","Suburbs","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Trotro (Minibus)",NA,"2–5 years","Suburbs","Throughout the day","4–6",TRUE,"PROTOA",NA,"Good","Sometimes","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Fair",FALSE,NA,"Effective","Cordial",TRUE,"No effect","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Taxi",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"Co-operative",NA,"Poor","Rarely","c. Street trading and hawking",0,0,1,0,0,"Inadequate",FALSE,NA,"Effective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Pragya/Okada",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Fair","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Effective","Cordial",FALSE,"No effect","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Taxi",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"Co-operative",NA,"Poor","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Effective","Cordial",TRUE,"No effect","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Evening","4–6",FALSE,NA,NA,"Good","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking",1,1,1,0,0,"Fair",FALSE,NA,"Effective","Cordial",TRUE,"No effect","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Ejisu-Kejetia Road","Male","18–25","Tertiary","Taxi",NA,"Less than 2 years","Suburbs","Morning","1–3",TRUE,"Co-operative",NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Neutral","Cordial",FALSE,"No effect","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Tertiary","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"Co-operative",NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Neutral","Neutral",FALSE,"No effect","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Pragya/Okada",NA,"2–5 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Sometimes","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","7–9",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Fair",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","1–3",TRUE,"GPRTU",NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",TRUE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"No effect","b. Better traffic management d. Enforcement of traffic laws e. Reduction of street hawking",0,1,0,1,1,0
"Adum- Tafo Road","Male","18–25","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Evening","4–6",TRUE,"GPRTU",NA,"Poor","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",TRUE,NA,"Very effective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Very poor","Always","b. Indiscipline by drivers c. Street trading and hawking e. Lack of parking space",0,1,1,0,1,"Inadequate",FALSE,NA,"Very ineffective","Neutral",NA,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces",1,1,1,0,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",FALSE,NA,NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",FALSE,NA,NA,"Poor","Always","c. Street trading and hawking d. Poor traffic control",0,0,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Very poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,1,1,1,1,"Not available",TRUE,"They don't do their job well","Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","No formal education","Trotro (Minibus)",NA,"Over 10 years","All areas","Throughout the day","4–6",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Fair",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Basic","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",FALSE,NA,NA,"Poor","Often","c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,0,1,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",TRUE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Pragya/Okada",NA,"2–5 years","Suburbs","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","4–6",FALSE,NA,NA,"Poor","Often","c. Street trading and hawking d. Poor traffic control",0,0,1,1,0,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"No effect","c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,0,1,1,1,0
"Adum- Tafo Road","Male","46–55","Basic","Taxi",NA,"6–10 years","CBD","Morning","7–9",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Very ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Secondary","Taxi",NA,"2–5 years","CBD","Throughout the day","7–9",FALSE,NA,NA,"Very poor","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",TRUE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","36–45","Tertiary","Taxi",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Very ineffective","Cordial",NA,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking f. Others",1,1,1,1,1,1
"Adum- Tafo Road","Male","26–35","Tertiary","Taxi",NA,"Over 10 years","All areas","Throughout the day","4–6",FALSE,NA,NA,"Very poor","Always","d. Poor traffic control",0,0,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","All areas","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Fair",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",FALSE,NA,NA,"Fair","Always","d. Poor traffic control",0,0,0,1,0,"Fair",TRUE,"They are much concern about money than directing traffic.","Very ineffective","Neutral",TRUE,"Decreased slightly","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
